Group Code As Per Xcube,Group Name as per Xcube,Site Code As Per Xcube,Site Name As Per Xcube,Billing Name As Per Tally,Region,zone,state,Party State,GSTIN/UIN,Costcentre,Address,site_code_no
GROUP57,Pepperfry Groups,SITE1198,Pepperfry Kala Nagar,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Bandra-New,#N/A,1198
GROUP57,Pepperfry Groups,SITE1199,Pepperfry Estern Business Bhandup,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Bhandup-New,#N/A,1199
GROUP57,Pepperfry Groups,SITE1188,Pepperfry CBD Belapur,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Belapur-New,"Pepperfry Belapur,Trishul Goldmine, Palm Beach Road ,Belapur
",1188
GROUP57,Pepperfry Groups,SITE1185,Pepperfry Juhu ,"TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED (Juhu)
",Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Juhu -New,"Pepperfry Juhu,Shop in Square 1, Gulmohar Road JVPD Juhu
",1185
GROUP57,Pepperfry Groups,SITE1195,Pepperfry Kharghar,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Kharghar - New,"Pepperfry Kharghar,Shop No.11, Shree Krishna Paradise, Sector 12, Kharghar
",1195
GROUP57,Pepperfry Groups,SITE1196,Pepperfry Lower Paral,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Lower Parel-New,"Pepperfry Lowerparel,B-11 RAGUWANI MALL LOWER PAREL WEST
",1196
GROUP57,Pepperfry Groups,SITE1184,Pepperfry Malad,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Malad -New,"Pepperfry Malad,Shop No.6, Bhagat Grandeur, Opp Infinity Mall
,",1184
GROUP57,Pepperfry Groups,SITE1186,Pepperfry Mulund Runwal,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Mulund -New,"Pepperfry Mulund,Runwal Anthurium - Mulund West - LBS Marg - Renu Motors
",1186
GROUP57,Pepperfry Groups,SITE1194,Pepperfry Santacruz,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Santacruz-New,"Pepperfry Santacruz,DIL BUILDING , DIAGONALLY OPP. VERO MODA,Opp St.LawrenceHigh School,Linking Road,Santacruz West,Mumbai-400054.",1194
GROUP57,Pepperfry Groups,SITE1193,Pepperfry Thane Ghodbundar,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Thane  Ghodbunder-New,#N/A,1193
GROUP57,Pepperfry Groups,SITE1200,pepperfry majiwada,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Thane Majiwada -New,#N/A,1200
GROUP57,Pepperfry Groups,SITE1187,Pepperfry Vashi Satra Palaza,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Vashi - New,"Pepperfry Vashi,Palm Beach Road, Satra Park
",1187
GROUP57,Pepperfry Groups,SITE1192,Pepperfry Vashi Inorbit Mall,"TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED (Vashi inorbit)
",Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Vashi Inorbit -New,"Pepperfry Vashi Inorbit Mall,STUDIO PEPPERFRY – HAWARE INFO TECH PARK, GROUND FLOOR,Shop No.11,12,13,Opposite Inorbit Mall,Sector-30,Vashi,Navimumbai-400703.",1192
GROUP57,Pepperfry Groups,SITE1205,Pepperfry Pune SB Road,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Pune S.B.Road-New,"Pepperfry Sb Road Pune,SHOP NO. 10 & 11, ICC TOWER, SENAPATI BAPAT ROAD,Near Chatursinghji Temple,Pune-411016.",1205
GROUP57,Pepperfry Groups,SITE1172,Pepperfry Borivali,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Borivali - New,"Pepperfry Borivali,Shop No. 3 & 4, Kabra Elita Hub, Sodawala Lane, Borivali West, Mumbai 400092
,",1172
GROUP106,Nayara Energy,SITE1043,Nayara Energy Ltd,Nayara Energy Ltd,Mumbai,1,1,Maharashtra,27AAACE0890P2Z8,Nayara Energy - New,#N/A,1043
GROUP130,FreightCrate Technologies Pvt. Ltd,SITE1305,FreightCrate Technologies Pvt. Ltd,FreightCrate Technologies Pvt. Ltd,Mumbai,1,1,Maharashtra,27AACCF8672J1Z6,FreightCrate - New,#N/A,1305
